index,output
0,False
1,False
2,False
3,False
4,True
5,True
6,False
7,False
8,True
9,False
10,True
11,True
12,False
13,False
14,True
15,False
16,False
17,True
18,False
19,True
20,False
21,False
22,False
23,True
24,False
25,False
26,False
27,True
28,False
29,True
30,False
31,True
32,True
33,False
34,True
35,False
36,True
37,True
38,False
39,True
40,True
41,True
42,True
43,False
44,False
45,False
46,True
47,False
48,False
49,True
50,True
51,True
52,False
53,True
54,True
55,False
56,True
57,True
58,True
59,True
60,True
61,True
62,False
63,False
64,False
65,True
66,False
67,True
68,True
69,True
70,True
71,False
72,True
73,True
74,True
75,False
76,True
77,False
78,True
79,False
80,False
81,True
82,False
83,True
84,False
85,True
86,False
87,False
88,True
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,True
97,True
98,True
99,True
100,False
101,False
102,True
103,True
104,False
105,False
106,False
107,True
108,False
109,False
110,False
111,True
112,True
113,True
114,True
115,True
116,True
117,False
118,True
119,True
120,True
121,True
122,False
123,False
124,True
125,True
126,True
127,False
128,False
129,True
130,False
131,False
132,False
133,False
134,False
135,True
136,False
137,True
138,False
139,False
140,False
141,False
142,False
143,True
144,True
145,False
146,True
147,True
148,False
149,True
150,True
151,True
152,False
153,True
154,False
155,False
156,False
157,False
158,True
159,False
160,True
161,True
162,False
163,False
164,True
165,False
166,True
167,False
168,True
169,False
170,False
171,False
172,True
173,False
174,False
175,True
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,True
184,True
185,False
186,True
187,False
188,True
189,True
190,False
191,True
192,False
193,False
194,True
195,True
196,False
197,True
198,False
199,True
200,False
201,True
202,False
203,False
204,False
205,False
206,False
207,True
208,True
209,False
210,False
211,True
212,False
213,False
214,True
215,False
216,True
217,True
218,True
219,True
220,False
221,False
222,True
223,True
224,False
225,True
226,False
227,True
228,False
229,False
230,True
231,False
232,False
233,True
234,False
235,True
236,False
237,False
238,False
239,False
240,False
241,True
242,True
243,True
244,True
245,False
246,False
247,True
248,False
249,False
250,False
251,False
252,True
253,False
254,True
255,True
256,True
257,False
258,False
259,True
260,False
261,True
262,False
263,True
264,True
265,False
266,False
267,True
268,False
269,True
270,True
271,True
272,False
273,True
274,False
275,False
276,False
277,False
278,True
279,True
280,False
281,False
282,False
283,True
284,True
285,True
286,False
287,False
288,False
289,True
290,True
291,False
292,False
293,True
294,False
295,False
296,False
297,False
298,False
299,True
300,True
301,False
302,True
303,True
304,False
305,True
306,False
307,True
308,True
309,False
310,False
311,True
312,False
313,False
314,False
315,False
316,False
317,True
318,True
319,False
320,False
321,True
322,False
323,True
324,True
325,False
326,True
327,False
328,True
329,True
330,False
331,True
332,False
333,False
334,False
335,False
336,True
337,True
338,False
339,False
340,False
341,False
342,True
343,True
344,True
345,False
346,False
347,False
348,True
349,True
350,False
351,False
352,True
353,False
354,False
355,False
356,False
357,False
358,True
359,False
360,True
361,False
362,False
363,True
364,True
365,False
366,False
367,False
368,True
369,False
370,True
371,True
372,False
373,False
374,False
375,True
376,True
377,True
378,False
379,True
380,True
381,False
382,True
383,True
384,False
385,True
386,False
387,False
388,True
389,False
390,True
391,True
392,False
393,True
394,True
395,False
396,False
397,True
398,False
399,False
400,True
401,True
402,False
403,True
404,True
405,False
406,True
407,True
408,False
409,False
410,False
411,True
412,True
413,True
414,False
415,False
416,False
417,True
418,False
419,False
420,False
421,True
422,False
423,True
424,False
425,False
426,True
427,True
428,False
429,False
430,True
431,True
432,False
433,True
434,True
435,False
436,False
437,False
438,False
439,False
440,True
441,False
442,False
443,False
444,True
445,True
446,False
447,False
448,False
449,True
450,False
451,True
452,False
453,True
454,True
455,False
456,False
457,False
458,False
459,True
460,True
461,False
462,False
463,True
464,False
465,False
466,True
467,False
468,True
469,True
470,False
471,False
472,True
473,False
474,True
475,True
476,True
477,True
478,True
479,False
480,False
481,True
482,True
483,False
484,False
485,True
486,True
487,False
488,False
489,True
490,True
491,False
492,True
493,False
494,False
495,True
496,False
497,True
498,False
499,False
